year,month,day,crime_disorder,crime_robbery,crime_aggravated_assault,crime_burglary,crime_theft,crime_mv_theft,crime_gun,crime_violent,crime_property,crime_index,crime_disorder_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_theft_day,crime_mv_theft_day,crime_gun_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_theft_night,crime_mv_theft_night,crime_gun_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_theft_is_sunrise,crime_mv_theft_is_sunrise,crime_gun_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_theft_is_sunset,crime_mv_theft_is_sunset,crime_gun_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2022,7,2,60,4,9,12,86,12,2,13,110,123,26,0,5,4,55,8,1,5,67,72,27,4,4,5,24,3,1,8,32,40,0,0,0,0,2,0,0,0,2,2,7,0,0,3,5,1,0,0,9,9,288,3,26,-127,111,Austin
2023,7,2,51,3,9,12,46,14,1,12,72,84,31,1,6,4,25,6,0,7,35,42,18,1,2,8,20,6,0,3,34,37,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,2,1,2,3,5,232,0,18,-126,112,Austin
2024,7,2,55,1,3,14,60,15,5,4,89,93,29,1,1,6,30,11,3,2,47,49,19,0,1,7,26,2,2,1,35,36,0,0,0,0,0,0,0,0,0,0,7,0,1,1,4,2,0,1,7,8,251,1,19,-124,114,Austin
2012,8,2,83,0,8,24,76,3,1,8,103,111,51,0,2,15,61,2,0,2,78,80,21,0,5,6,12,1,1,5,19,24,3,0,0,0,1,0,0,0,1,1,8,0,1,3,2,0,0,1,5,6,320,5,21,-94,144,Austin
2013,8,2,91,2,5,14,88,2,3,7,104,111,46,1,1,11,59,1,1,2,71,73,35,0,2,1,23,1,1,2,25,27,0,0,0,0,0,0,0,0,0,0,10,1,2,2,6,0,1,3,8,11,347,2,34,-93,145,Austin
2014,8,2,92,4,7,10,88,2,3,11,100,111,52,2,3,8,56,1,1,5,65,70,35,2,4,2,26,1,2,6,29,35,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,6,6,332,0,20,-92,146,Austin
2015,8,2,85,1,7,13,67,6,2,8,86,94,43,1,3,6,39,3,1,4,48,52,35,0,2,4,19,3,1,2,26,28,0,0,1,0,0,0,0,1,0,1,7,0,1,3,9,0,0,1,12,13,301,3,28,-91,147,Austin
2016,8,2,98,1,4,14,78,7,3,5,99,104,56,1,3,8,53,5,2,4,66,70,33,0,1,5,15,2,0,1,22,23,0,0,0,0,0,0,0,0,0,0,9,0,0,1,10,0,1,0,11,11,298,0,30,-96,142,Austin
2017,8,2,73,1,6,7,72,3,3,7,82,89,44,1,2,2,51,2,3,3,55,58,25,0,4,3,17,1,0,4,21,25,0,0,0,0,1,0,0,0,1,1,4,0,0,2,3,0,0,0,5,5,266,1,17,-95,143,Austin
2018,8,2,50,2,4,9,80,10,3,6,99,105,27,2,2,6,53,7,1,4,66,70,16,0,2,3,25,2,1,2,30,32,0,0,0,0,0,0,1,0,0,0,7,0,0,0,2,1,0,0,3,3,256,3,13,-94,144,Austin
2019,8,2,72,2,10,7,65,9,5,12,81,93,33,0,4,5,41,4,2,4,50,54,26,1,5,2,20,5,3,6,27,33,1,0,0,0,0,0,0,0,0,0,12,1,1,0,4,0,0,2,4,6,293,2,22,-93,145,Austin
2020,8,2,43,5,8,9,58,11,1,13,78,91,21,2,2,5,34,6,0,4,45,49,20,2,5,3,17,4,1,7,24,31,1,0,0,0,0,0,0,0,0,0,1,1,1,1,7,1,0,2,9,11,231,2,22,-91,147,Austin
2021,8,2,51,7,11,9,58,11,5,18,78,96,32,5,4,4,36,11,3,9,51,60,15,2,4,5,20,0,2,6,25,31,0,0,0,0,0,0,0,0,0,0,4,0,3,0,2,0,0,3,2,5,231,1,19,-97,141,Austin
2022,8,2,51,4,5,22,69,8,3,9,99,108,27,2,4,11,47,8,1,6,66,72,17,2,1,10,15,0,1,3,25,28,0,0,0,0,1,0,0,0,1,1,7,0,0,1,6,0,1,0,7,7,250,1,22,-96,142,Austin
2023,8,2,48,2,7,9,40,29,4,9,78,87,28,2,4,5,22,22,4,6,49,55,19,0,3,3,16,7,0,3,26,29,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,2,2,238,1,5,-95,143,Austin
2024,8,2,63,4,8,7,73,16,3,12,96,108,29,2,3,4,50,10,1,5,64,69,26,1,4,3,20,4,1,5,27,32,0,0,0,0,0,0,0,0,0,0,8,1,1,0,3,2,1,2,5,7,270,0,22,-93,145,Austin
2012,9,2,104,2,6,16,101,5,3,8,122,130,38,0,2,9,43,4,3,2,56,58,56,2,3,7,46,0,0,5,53,58,0,0,0,0,0,0,0,0,0,0,10,0,1,0,12,1,0,1,13,14,368,2,32,-63,175,Austin
2013,9,2,103,0,7,18,87,3,2,7,108,115,53,0,2,9,56,1,1,2,66,68,38,0,4,6,24,1,1,4,31,35,0,0,1,0,0,0,0,1,0,1,12,0,0,3,7,1,0,0,11,11,357,2,33,-62,176,Austin
2014,9,2,79,1,4,19,73,2,1,5,94,99,34,0,3,16,51,2,1,3,69,72,34,1,1,3,14,0,0,2,17,19,0,0,0,0,0,0,0,0,0,0,11,0,0,0,8,0,0,0,8,8,293,0,28,-61,177,Austin
2015,9,2,76,1,3,12,87,6,2,4,105,109,40,0,1,7,44,3,2,1,54,55,27,1,1,5,33,3,0,2,41,43,2,0,0,0,0,0,0,0,0,0,7,0,1,0,10,0,0,1,10,11,302,3,25,-60,178,Austin
2016,9,2,95,0,4,13,71,10,2,4,94,98,48,0,4,6,47,4,1,4,57,61,36,0,0,7,19,6,1,0,32,32,2,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,5,5,301,2,19,-65,173,Austin
2017,9,2,87,3,5,10,60,4,0,8,74,82,42,2,1,6,35,0,0,3,41,44,32,1,3,3,22,2,0,4,27,31,0,0,1,0,0,0,0,1,0,1,13,0,0,1,3,2,0,0,6,6,274,1,25,-64,174,Austin
2018,9,2,81,8,5,9,87,10,0,13,106,119,34,2,2,6,49,7,0,4,62,66,38,5,3,2,32,1,0,8,35,43,1,0,0,0,0,0,0,0,0,0,8,1,0,1,6,2,0,1,9,10,269,1,20,-63,175,Austin
2019,9,2,70,4,7,9,78,9,2,11,96,107,43,1,3,7,44,5,1,4,56,60,23,3,3,2,29,3,1,6,34,40,0,0,0,0,0,0,0,0,0,0,4,0,1,0,5,1,0,1,6,7,276,0,20,-62,176,Austin
2020,9,2,56,3,5,7,71,14,2,8,92,100,27,2,4,4,38,7,1,6,49,55,20,1,1,3,24,7,1,2,34,36,1,0,0,0,5,0,0,0,5,5,8,0,0,0,4,0,0,0,4,4,233,7,17,-60,178,Austin
2021,9,2,52,2,7,12,63,11,2,9,86,95,28,0,3,5,35,6,0,3,46,49,18,2,4,4,25,4,1,6,33,39,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,1,1,0,7,7,243,0,18,-66,172,Austin
2022,9,2,50,3,8,10,73,16,4,11,99,110,21,2,2,6,40,11,3,4,57,61,26,1,5,3,28,4,1,6,35,41,1,0,0,0,2,0,0,0,2,2,2,0,1,1,3,1,0,1,5,6,253,4,14,-65,173,Austin
2023,9,2,44,3,10,11,66,19,5,13,96,109,21,0,2,3,29,7,2,2,39,41,20,3,7,8,33,12,3,10,53,63,1,0,0,0,0,0,0,0,0,0,2,0,1,0,4,0,0,1,4,5,238,1,13,-64,174,Austin
2024,9,2,62,3,7,11,46,9,4,10,66,76,23,1,2,5,27,7,1,3,39,42,29,2,4,5,12,2,3,6,19,25,2,0,0,0,0,0,0,0,0,0,8,0,1,1,7,0,0,1,8,9,245,3,19,-62,176,Austin
2012,10,2,73,1,3,19,94,8,2,4,121,125,28,0,1,10,46,3,1,1,59,60,40,1,2,8,41,4,0,3,53,56,1,0,0,0,1,1,1,0,2,2,4,0,0,1,6,0,0,0,7,7,323,7,23,-33,205,Austin
2013,10,2,95,4,2,29,94,6,1,6,129,135,47,2,1,20,45,3,1,3,68,71,44,2,0,7,34,2,0,2,43,45,0,0,0,0,0,0,0,0,0,0,4,0,1,2,15,1,0,1,18,19,348,1,31,-32,206,Austin
