year,month,day,calls_disorder,calls_behavior,calls_traffic,calls_gun,calls_robbery,calls_burglary,calls_aggravated_assault,calls_theft,calls_mv_theft,calls_violent,calls_property,calls_index,calls_disorder_day,calls_behavior_day,calls_traffic_day,calls_gun_day,calls_robbery_day,calls_burglary_day,calls_aggravated_assault_day,calls_theft_day,calls_mv_theft_day,calls_violent_day,calls_property_day,calls_index_day,calls_disorder_night,calls_behavior_night,calls_traffic_night,calls_gun_night,calls_robbery_night,calls_burglary_night,calls_aggravated_assault_night,calls_theft_night,calls_mv_theft_night,calls_violent_night,calls_property_night,calls_index_night,calls_disorder_is_sunrise,calls_behavior_is_sunrise,calls_traffic_is_sunrise,calls_gun_is_sunrise,calls_robbery_is_sunrise,calls_burglary_is_sunrise,calls_aggravated_assault_is_sunrise,calls_theft_is_sunrise,calls_mv_theft_is_sunrise,calls_violent_is_sunrise,calls_property_is_sunrise,calls_index_is_sunrise,calls_disorder_is_sunset,calls_behavior_is_sunset,calls_traffic_is_sunset,calls_gun_is_sunset,calls_robbery_is_sunset,calls_burglary_is_sunset,calls_aggravated_assault_is_sunset,calls_theft_is_sunset,calls_mv_theft_is_sunset,calls_violent_is_sunset,calls_property_is_sunset,calls_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city,date
2018,11,2,37,49,27,6,0,3,0,14,1,0,18,18,18,18,16,1,0,3,0,12,0,0,15,15,18,24,8,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,7,3,0,0,0,0,1,0,0,1,1,816,13,92,-2,236,Hartford,2018-11-02
2019,11,2,53,28,12,6,2,1,0,8,3,2,12,14,12,12,6,0,2,0,0,4,3,2,7,9,37,10,4,6,0,1,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,0,0,0,0,2,0,0,2,2,660,12,74,-1,237,Hartford,2019-11-02
2020,11,2,36,40,15,8,0,3,1,11,0,1,14,15,17,13,10,1,0,2,1,8,0,1,10,11,11,22,2,7,0,1,0,3,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,7,5,3,0,0,0,0,0,0,0,0,0,1082,9,118,1,239,Hartford,2020-11-02
2021,11,2,29,23,18,10,1,3,1,19,6,2,28,30,12,10,6,6,1,1,0,12,6,1,19,20,15,10,7,3,0,2,1,4,0,1,6,7,0,0,1,0,0,0,0,0,0,0,0,0,2,3,4,1,0,0,0,3,0,0,3,3,418,3,29,-5,233,Hartford,2021-11-02
2022,11,2,31,25,15,4,0,5,0,12,6,0,23,23,18,9,11,2,0,4,0,11,3,0,18,18,10,13,3,1,0,1,0,1,1,0,3,3,0,0,0,0,0,0,0,0,1,0,1,1,3,3,1,1,0,0,0,0,1,0,1,1,442,2,36,-4,234,Hartford,2022-11-02
2023,11,2,14,28,16,6,0,3,0,20,2,0,25,25,5,23,12,2,0,1,0,14,2,0,17,17,3,5,2,4,0,1,0,4,0,0,5,5,3,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,3,3,354,7,36,-3,235,Hartford,2023-11-02
2024,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,2024-11-02
2012,12,2,47,29,13,1,0,2,0,13,7,0,22,22,11,8,3,0,0,1,0,6,3,0,10,10,30,15,9,1,0,0,0,6,4,0,10,10,1,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,0,1,0,1,0,0,2,2,474,2,38,28,266,Hartford,2012-12-02
2013,12,2,34,33,21,0,1,2,1,16,1,2,19,21,13,16,15,0,1,1,0,11,1,1,13,14,16,12,2,0,0,1,1,2,0,1,3,4,2,0,1,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,3,0,0,3,3,740,13,65,29,267,Hartford,2013-12-02
2014,12,2,49,27,16,2,2,3,0,9,4,2,16,18,23,18,4,2,1,2,0,4,0,1,6,7,20,7,5,0,0,0,0,3,4,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0,1,1,0,2,0,1,3,4,769,15,73,30,268,Hartford,2014-12-02
2015,12,2,39,23,28,2,0,8,1,18,4,1,30,31,21,6,12,1,0,6,1,10,2,1,18,19,14,14,8,0,0,2,0,7,2,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,1,0,0,0,1,0,0,1,1,538,4,47,31,269,Hartford,2015-12-02
2016,12,2,49,44,18,1,0,1,0,14,4,0,19,19,16,30,9,0,0,0,0,11,2,0,13,13,29,11,6,1,0,1,0,3,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,630,11,41,26,264,Hartford,2016-12-02
2017,12,2,52,25,14,3,1,0,1,19,2,2,21,23,19,11,5,1,0,0,0,12,1,0,13,13,30,11,9,2,1,0,1,6,1,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,1,1,468,1,36,27,265,Hartford,2017-12-02
2018,12,2,35,22,14,8,1,0,1,11,5,2,16,18,7,8,4,1,0,0,1,6,3,1,9,10,23,13,10,7,1,0,0,4,2,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,1,1,447,1,43,28,266,Hartford,2018-12-02
2019,12,2,30,19,17,0,0,0,0,13,4,0,17,17,15,12,8,0,0,0,0,4,3,0,7,7,13,5,7,0,0,0,0,6,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,3,0,0,3,3,591,6,60,29,267,Hartford,2019-12-02
2020,12,2,34,52,5,8,0,2,1,7,4,1,13,14,15,19,2,2,0,0,0,3,3,0,6,6,16,31,2,3,0,2,1,3,1,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,0,0,0,1,0,0,1,1,1027,5,118,31,269,Hartford,2020-12-02
2021,12,2,36,38,14,13,0,2,1,20,3,1,25,26,15,24,10,7,0,1,1,12,2,1,15,16,16,10,1,6,0,1,0,6,0,0,7,7,0,3,1,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,2,1,0,3,3,381,7,29,25,263,Hartford,2021-12-02
2022,12,2,34,46,23,6,0,3,4,14,3,4,20,24,18,21,15,0,0,2,1,9,3,1,14,15,15,20,5,5,0,1,3,4,0,3,5,8,0,1,1,0,0,0,0,0,0,0,0,0,1,4,2,1,0,0,0,1,0,0,1,1,452,6,45,26,264,Hartford,2022-12-02
2023,12,2,46,21,17,7,0,2,1,9,3,1,14,15,15,8,6,2,0,2,0,6,1,0,9,9,29,11,9,3,0,0,1,2,2,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,1,0,0,1,1,337,4,29,27,265,Hartford,2023-12-02
2024,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,2024-12-02
2012,1,3,40,51,17,1,1,6,0,15,6,1,27,28,13,23,7,0,0,3,0,9,4,0,16,16,20,26,6,1,1,2,0,3,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,7,2,4,0,0,1,0,3,2,0,6,6,729,5,82,-306,-68,Hartford,2012-01-03
2013,1,3,57,42,20,0,0,9,1,6,1,1,16,17,28,17,18,0,0,2,1,4,1,1,7,8,23,16,0,0,0,6,0,1,0,0,7,7,0,0,1,0,0,0,0,0,0,0,0,0,6,9,1,0,0,1,0,1,0,0,2,2,687,12,70,-304,-66,Hartford,2013-01-03
2014,1,3,41,23,27,0,0,1,1,4,1,1,6,7,22,6,19,0,0,1,0,4,1,0,6,6,14,15,6,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,607,10,63,-303,-65,Hartford,2014-01-03
2015,1,3,45,17,29,2,1,1,2,14,3,3,18,21,14,9,16,1,0,0,1,9,2,1,11,12,24,7,6,1,1,0,1,4,1,2,5,7,0,0,0,0,0,1,0,0,0,0,1,1,7,1,7,0,0,0,0,1,0,0,1,1,408,9,33,-302,-64,Hartford,2015-01-03
2016,1,3,35,19,11,0,0,1,2,9,1,2,11,13,11,5,7,0,0,0,0,3,1,0,4,4,21,11,4,0,0,1,2,4,0,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,0,0,2,2,368,3,25,-308,-70,Hartford,2016-01-03
2017,1,3,37,32,32,10,0,1,0,12,4,0,17,17,17,14,19,2,0,0,0,7,2,0,9,9,16,13,6,7,0,1,0,4,2,0,7,7,0,0,1,0,0,0,0,0,0,0,0,0,4,5,6,1,0,0,0,1,0,0,1,1,468,7,43,-306,-68,Hartford,2017-01-03
2018,1,3,40,19,25,4,1,1,0,6,7,1,14,15,22,6,14,1,1,0,0,5,2,1,7,8,16,7,5,3,0,1,0,1,5,0,7,7,0,0,2,0,0,0,0,0,0,0,0,0,2,6,4,0,0,0,0,0,0,0,0,0,432,4,41,-305,-67,Hartford,2018-01-03
2019,1,3,39,56,14,2,0,0,1,14,2,1,16,17,21,25,6,0,0,0,0,11,2,0,13,13,16,21,4,2,0,0,1,3,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,10,4,0,0,0,0,0,0,0,0,0,780,8,107,-304,-66,Hartford,2019-01-03
2020,1,3,41,35,15,4,0,1,2,7,7,2,15,17,22,10,8,1,0,1,2,5,3,2,9,11,16,23,4,3,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,2,0,0,2,2,644,2,69,-303,-65,Hartford,2020-01-03
2021,1,3,37,19,4,10,1,1,1,5,2,2,8,10,10,7,1,3,1,0,1,3,0,2,3,5,20,12,0,7,0,1,0,2,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,0,1,1,459,4,30,-308,-70,Hartford,2021-01-03
2022,1,3,36,13,16,8,1,1,0,11,1,1,13,14,14,9,14,1,0,0,0,6,1,0,7,7,20,2,1,6,1,1,0,4,0,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,1,0,0,1,1,269,3,26,-307,-69,Hartford,2022-01-03
2023,1,3,41,37,19,5,0,7,0,15,5,0,27,27,12,21,8,2,0,4,0,11,3,0,18,18,25,11,4,3,0,1,0,3,1,0,5,5,0,0,1,0,0,1,0,0,0,0,1,1,4,5,6,0,0,1,0,1,1,0,3,3,407,4,42,-306,-68,Hartford,2023-01-03
2024,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,2024-01-03
2012,2,3,39,54,25,1,0,1,0,14,10,0,25,25,15,24,17,0,0,0,0,11,3,0,14,14,20,30,6,1,0,1,0,3,3,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,4,0,4,4,751,7,53,-275,-37,Hartford,2012-02-03
2013,2,3,51,22,8,2,2,2,0,5,1,2,8,10,18,11,4,0,1,1,0,3,1,1,5,6,30,11,3,2,1,1,0,2,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,437,2,30,-273,-35,Hartford,2013-02-03
2014,2,3,46,25,24,3,1,1,1,13,6,2,20,22,17,14,23,0,1,0,0,7,3,1,10,11,23,10,1,2,0,0,1,4,1,1,5,6,0,0,0,0,0,0,0,1,0,0,1,1,6,1,0,1,0,1,0,1,2,0,4,4,555,3,53,-272,-34,Hartford,2014-02-03
2015,2,3,33,13,46,2,1,3,0,12,3,1,18,19,11,6,31,0,1,0,0,3,1,1,4,5,22,6,6,2,0,3,0,7,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,2,2,0,4,4,454,3,41,-271,-33,Hartford,2015-02-03
2016,2,3,45,26,22,1,0,1,0,18,2,0,21,21,22,13,19,0,0,1,0,10,1,0,12,12,20,10,0,1,0,0,0,6,1,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,2,0,0,2,2,588,3,54,-277,-39,Hartford,2016-02-03
2017,2,3,47,44,26,1,0,3,0,11,3,0,17,17,20,27,18,0,0,1,0,6,2,0,9,9,22,15,6,1,0,2,0,2,1,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,3,0,0,3,3,618,14,44,-275,-37,Hartford,2017-02-03
2018,2,3,34,23,16,4,0,3,1,7,4,1,14,15,4,10,5,2,0,3,1,5,1,1,9,10,27,12,10,1,0,0,0,2,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,487,3,35,-274,-36,Hartford,2018-02-03
2019,2,3,38,26,14,4,0,0,1,5,0,1,5,6,12,11,5,1,0,0,1,2,0,1,2,3,24,14,5,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,0,1,0,0,1,1,499,0,39,-273,-35,Hartford,2019-02-03
2020,2,3,30,45,16,3,0,1,0,6,3,0,10,10,14,17,10,2,0,0,0,3,3,0,6,6,14,21,3,1,0,1,0,3,0,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,720,8,68,-272,-34,Hartford,2020-02-03
2021,2,3,26,35,15,2,0,1,0,3,1,0,5,5,13,16,11,0,0,1,0,2,1,0,4,4,8,11,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,1,0,0,1,1,810,2,93,-277,-39,Hartford,2021-02-03
2022,2,3,37,47,25,8,0,0,1,12,1,1,13,14,17,13,16,5,0,0,1,4,1,1,5,6,16,23,4,3,0,0,0,6,0,0,6,6,0,0,1,0,0,0,0,0,0,0,0,0,4,11,4,0,0,0,0,2,0,0,2,2,391,3,49,-276,-38,Hartford,2022-02-03
2023,2,3,29,17,15,3,0,3,2,14,3,2,20,22,13,9,9,2,0,1,0,6,3,0,10,10,16,5,3,1,0,2,0,5,0,0,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,3,0,2,3,5,419,2,46,-275,-37,Hartford,2023-02-03
2024,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,2024-02-03
2012,3,3,67,53,17,3,0,1,0,1,4,0,6,6,20,31,7,1,0,1,0,0,1,0,2,2,41,16,8,1,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,1,0,0,0,0,2,0,2,2,642,4,65,-246,-8,Hartford,2012-03-03
2013,3,3,39,14,4,2,3,3,0,5,1,3,9,12,13,9,1,0,0,1,0,3,1,0,5,5,25,4,3,2,3,1,0,1,0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,2,475,1,29,-245,-7,Hartford,2013-03-03
2014,3,3,40,31,20,0,0,1,0,5,3,0,9,9,27,23,17,0,0,1,0,4,2,0,7,7,10,6,1,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,651,8,42,-244,-6,Hartford,2014-03-03
2015,3,3,34,24,36,0,0,2,0,15,3,0,20,20,19,18,29,0,0,2,0,14,2,0,18,18,13,4,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,0,0,1,1,656,10,48,-243,-5,Hartford,2015-03-03
2016,3,3,36,33,16,4,2,1,1,8,5,3,14,17,21,22,13,1,2,1,1,6,3,3,10,13,12,7,2,3,0,0,0,1,2,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,1,0,0,1,1,633,5,59,-248,-10,Hartford,2016-03-03
2017,3,3,44,41,24,1,0,3,0,10,0,0,13,13,21,23,19,1,0,3,0,7,0,0,10,10,17,15,3,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,0,0,0,0,1,0,0,1,1,666,4,50,-247,-9,Hartford,2017-03-03
2018,3,3,44,21,16,1,1,1,1,11,8,2,20,22,16,10,12,1,0,1,1,10,0,1,11,12,23,8,4,0,1,0,0,1,5,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,0,3,3,454,2,41,-246,-8,Hartford,2018-03-03
2019,3,3,38,24,12,5,1,0,0,12,1,1,13,14,14,7,8,1,1,0,0,7,0,1,7,8,20,13,4,4,0,0,0,2,1,0,3,3,0,0,0,0,0,0,0,1,0,0,1,1,4,4,0,0,0,0,0,2,0,0,2,2,677,3,63,-245,-7,Hartford,2019-03-03
2020,3,3,39,45,20,1,0,1,1,15,2,1,18,19,22,28,12,1,0,1,1,14,1,1,16,17,10,9,2,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,7,7,5,0,0,0,0,0,1,0,1,1,757,9,59,-243,-5,Hartford,2020-03-03
2021,3,3,27,26,13,10,0,1,1,9,1,1,11,12,18,18,13,4,0,1,0,6,1,0,8,8,6,8,0,5,0,0,1,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,1,635,2,58,-249,-11,Hartford,2021-03-03
2022,3,3,34,20,25,0,0,4,3,14,1,3,19,22,16,10,19,0,0,2,1,11,0,1,13,14,15,9,4,0,0,2,2,2,1,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,0,0,1,1,362,5,38,-248,-10,Hartford,2022-03-03
2023,3,3,34,30,22,0,0,2,2,12,4,2,18,20,15,18,14,0,0,1,2,10,4,2,15,17,16,9,7,0,0,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,0,0,0,0,1,1,421,5,38,-247,-9,Hartford,2023-03-03
2024,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,2024-03-03
2012,4,3,57,44,16,1,0,1,0,16,3,0,20,20,39,27,12,0,0,1,0,13,2,0,16,16,17,11,3,0,0,0,0,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,0,0,1,0,0,1,1,734,1,37,-215,23,Hartford,2012-04-03
2013,4,3,35,63,20,1,0,3,2,16,7,2,26,28,23,49,17,0,0,1,0,15,3,0,19,19,7,6,1,1,0,2,0,1,4,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0,4,8,2,0,0,0,2,0,0,2,0,2,1009,4,80,-214,24,Hartford,2013-04-03
2014,4,3,54,54,20,2,3,2,0,11,4,3,17,20,29,37,16,0,1,2,0,6,3,1,11,12,15,11,4,0,2,0,0,2,1,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,0,2,0,0,0,3,0,0,3,3,762,5,59,-213,25,Hartford,2014-04-03
2015,4,3,51,37,19,3,2,4,0,7,3,2,14,16,24,26,16,1,1,4,0,4,2,1,10,11,23,10,2,2,1,0,0,2,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,1,0,0,1,1,530,3,38,-212,26,Hartford,2015-04-03
2016,4,3,43,19,14,2,0,2,1,8,1,1,11,12,20,8,10,0,0,1,0,7,1,0,9,9,20,9,3,1,0,1,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,0,0,1,0,1,418,4,29,-217,21,Hartford,2016-04-03
2017,4,3,45,32,23,6,0,1,0,15,1,0,17,17,29,21,19,3,0,1,0,13,0,0,14,14,14,8,2,3,0,0,0,2,0,0,2,2,1,1,1,0,0,0,0,0,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,658,9,56,-216,22,Hartford,2017-04-03
2018,4,3,32,28,21,3,0,3,0,12,4,0,19,19,15,13,18,0,0,2,0,9,2,0,13,13,13,14,0,1,0,1,0,2,2,0,5,5,0,0,0,1,0,0,0,1,0,0,1,1,4,1,3,1,0,0,0,0,0,0,0,0,458,7,28,-215,23,Hartford,2018-04-03
2019,4,3,41,36,20,1,0,0,0,7,1,0,8,8,27,28,15,0,0,0,0,4,1,0,5,5,11,5,3,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,2,0,0,2,2,721,6,49,-214,24,Hartford,2019-04-03
2020,4,3,29,21,3,3,0,0,0,1,0,0,1,1,15,13,3,0,0,0,0,0,0,0,0,0,11,3,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,934,1,89,-212,26,Hartford,2020-04-03
2021,4,3,45,40,12,8,0,1,2,4,2,2,7,9,20,23,8,0,0,1,0,3,2,0,6,6,18,14,2,7,0,0,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,6,3,2,1,0,0,1,0,0,1,0,1,1022,2,136,-218,20,Hartford,2021-04-03
2022,4,3,55,21,14,3,0,1,0,10,1,0,12,12,28,13,10,0,0,1,0,9,1,0,11,11,25,6,2,3,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,350,5,35,-217,21,Hartford,2022-04-03
2023,4,3,29,29,32,11,0,1,2,15,4,2,20,22,18,14,31,5,0,1,0,15,3,0,19,19,8,12,1,6,0,0,2,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,424,3,25,-216,22,Hartford,2023-04-03
2024,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,2024-04-03
2012,5,3,40,55,20,4,0,0,1,13,4,1,17,18,19,40,14,1,0,0,1,11,2,1,13,14,16,11,1,2,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,1,0,0,0,1,1,0,2,2,773,3,65,-185,53,Hartford,2012-05-03
2013,5,3,66,74,29,2,3,1,1,13,2,4,16,20,35,41,22,0,1,0,1,12,1,2,13,15,21,16,6,2,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,7,17,1,0,1,1,0,1,1,1,3,4,866,5,80,-184,54,Hartford,2013-05-03
2014,5,3,72,45,10,2,0,2,0,8,2,0,12,12,32,27,6,0,0,1,0,8,1,0,10,10,33,12,4,2,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,579,4,45,-183,55,Hartford,2014-05-03
2015,5,3,75,20,12,6,0,0,1,6,3,1,9,10,36,13,7,1,0,0,0,4,3,0,7,7,28,5,5,3,0,0,1,2,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,10,1,0,2,0,0,0,0,0,0,0,0,442,2,39,-182,56,Hartford,2015-05-03
2016,5,3,52,36,17,1,0,2,0,15,4,0,21,21,32,28,16,0,0,2,0,13,2,0,17,17,13,4,0,0,0,0,0,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,7,3,1,1,0,0,0,1,1,0,2,2,569,4,53,-187,51,Hartford,2016-05-03
2017,5,3,48,34,24,0,0,2,0,18,3,0,23,23,36,24,24,0,0,2,0,16,2,0,20,20,6,7,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,1,6,3,0,0,0,0,0,0,0,0,0,0,547,1,34,-186,52,Hartford,2017-05-03
2018,5,3,56,40,14,4,0,2,0,16,6,0,24,24,34,22,12,0,0,2,0,15,3,0,20,20,17,14,0,4,0,0,0,1,2,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,1,0,1,1,614,2,52,-185,53,Hartford,2018-05-03
2019,5,3,31,42,24,3,0,1,1,9,3,1,13,14,15,16,19,1,0,0,1,9,3,1,12,13,11,16,4,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,10,1,0,0,0,0,0,0,0,0,0,650,3,89,-184,54,Hartford,2019-05-03
2020,5,3,41,45,14,6,1,0,0,1,3,1,4,5,22,26,9,2,1,0,0,1,2,1,3,4,15,16,3,3,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0,0,0,0,0,0,0,0,675,11,42,-182,56,Hartford,2020-05-03
2021,5,3,37,22,10,9,1,1,0,4,0,1,5,6,21,16,8,1,1,1,0,4,0,1,5,6,15,3,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,580,4,46,-188,50,Hartford,2021-05-03
2022,5,3,24,23,18,4,0,1,0,13,4,0,18,18,16,15,14,3,0,1,0,13,4,0,18,18,7,4,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,428,7,38,-187,51,Hartford,2022-05-03
2023,5,3,35,27,28,2,0,2,1,12,3,1,17,18,24,17,22,0,0,1,0,10,3,0,14,14,9,6,2,2,0,1,1,2,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,457,2,36,-186,52,Hartford,2023-05-03
2024,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,2024-05-03
2012,6,3,112,26,31,5,2,5,0,12,6,2,23,25,48,15,23,4,0,0,0,9,4,0,13,13,43,7,6,0,2,4,0,3,1,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,21,4,2,1,0,1,0,0,1,0,2,2,680,7,84,-154,84,Hartford,2012-06-03
2013,6,3,51,49,20,3,3,2,1,13,6,4,21,25,35,38,19,2,2,2,0,11,5,2,18,20,9,7,1,1,1,0,1,1,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,1,0,0,1,1,698,3,54,-153,85,Hartford,2013-06-03
2014,6,3,37,47,17,1,3,4,0,8,8,3,20,23,31,35,16,0,0,4,0,7,5,0,16,16,4,5,0,1,3,0,0,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,0,1,0,0,1,1,737,2,58,-152,86,Hartford,2014-06-03
2015,6,3,47,46,26,6,1,4,1,14,2,2,20,22,29,38,24,4,0,3,1,13,1,1,17,18,11,2,1,1,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,1,0,0,0,1,1,0,2,2,567,1,50,-151,87,Hartford,2015-06-03
2016,6,3,69,36,25,3,2,2,0,18,4,2,24,26,47,30,21,1,2,1,0,15,2,2,18,20,16,4,4,2,0,1,0,2,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,1,1,617,1,71,-156,82,Hartford,2016-06-03
2017,6,3,78,29,17,9,0,1,0,8,2,0,11,11,40,16,8,2,0,1,0,7,1,0,9,9,23,10,7,4,0,0,0,1,1,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,15,3,1,2,0,0,0,0,0,0,0,0,513,4,56,-155,83,Hartford,2017-06-03
