year,month,day,calls_disorder,calls_behavior,calls_traffic,calls_gun,calls_robbery,calls_burglary,calls_aggravated_assault,calls_theft,calls_mv_theft,calls_violent,calls_property,calls_index,calls_disorder_day,calls_behavior_day,calls_traffic_day,calls_gun_day,calls_robbery_day,calls_burglary_day,calls_aggravated_assault_day,calls_theft_day,calls_mv_theft_day,calls_violent_day,calls_property_day,calls_index_day,calls_disorder_night,calls_behavior_night,calls_traffic_night,calls_gun_night,calls_robbery_night,calls_burglary_night,calls_aggravated_assault_night,calls_theft_night,calls_mv_theft_night,calls_violent_night,calls_property_night,calls_index_night,calls_disorder_is_sunrise,calls_behavior_is_sunrise,calls_traffic_is_sunrise,calls_gun_is_sunrise,calls_robbery_is_sunrise,calls_burglary_is_sunrise,calls_aggravated_assault_is_sunrise,calls_theft_is_sunrise,calls_mv_theft_is_sunrise,calls_violent_is_sunrise,calls_property_is_sunrise,calls_index_is_sunrise,calls_disorder_is_sunset,calls_behavior_is_sunset,calls_traffic_is_sunset,calls_gun_is_sunset,calls_robbery_is_sunset,calls_burglary_is_sunset,calls_aggravated_assault_is_sunset,calls_theft_is_sunset,calls_mv_theft_is_sunset,calls_violent_is_sunset,calls_property_is_sunset,calls_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city,date
2016,2,1,45,36,19,2,1,1,0,12,4,1,17,18,24,25,16,1,0,0,0,9,3,0,12,12,20,10,2,1,1,0,0,2,1,1,3,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,2,550,3,41,-279,-41,Hartford,2016-02-01
2017,2,1,37,52,20,3,1,1,1,16,3,2,20,22,23,32,13,1,0,0,0,11,2,0,13,13,12,16,3,2,0,1,1,3,1,1,5,6,0,0,1,0,0,0,0,0,0,0,0,0,2,4,3,0,1,0,0,2,0,1,2,3,613,2,60,-277,-39,Hartford,2017-02-01
2018,2,1,38,25,21,7,0,7,0,8,6,0,21,21,20,15,12,0,0,4,0,5,2,0,11,11,16,7,5,7,0,2,0,1,4,0,7,7,0,1,1,0,0,0,0,1,0,0,1,1,2,2,3,0,0,1,0,1,0,0,2,2,584,7,57,-276,-38,Hartford,2018-02-01
2019,2,1,25,58,34,1,0,0,0,8,5,0,13,13,11,38,28,0,0,0,0,5,3,0,8,8,12,16,5,1,0,0,0,3,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,1,0,1,1,827,2,102,-275,-37,Hartford,2019-02-01
2020,2,1,22,30,16,2,0,2,0,9,4,0,15,15,9,14,6,0,0,2,0,7,3,0,12,12,11,15,8,2,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0,0,1,1,693,1,45,-274,-36,Hartford,2020-02-01
2021,2,1,16,18,15,1,0,1,0,3,3,0,7,7,4,12,10,0,0,1,0,3,2,0,6,6,9,6,4,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,568,3,62,-279,-41,Hartford,2021-02-01
2022,2,1,41,16,21,6,0,4,3,8,2,3,14,17,17,6,14,0,0,2,0,5,2,0,9,9,20,9,6,6,0,2,1,0,0,1,2,3,0,0,0,0,0,0,0,1,0,0,1,1,4,1,1,0,0,0,2,2,0,2,2,4,359,3,42,-278,-40,Hartford,2022-02-01
2023,2,1,39,38,19,9,1,3,2,17,4,3,24,27,23,29,13,4,0,2,0,10,2,0,14,14,15,8,4,5,1,1,2,6,2,3,9,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,1,524,2,25,-277,-39,Hartford,2023-02-01
2024,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartford,2024-02-01
2012,3,1,36,42,17,0,2,1,0,13,3,2,17,19,18,11,12,0,1,1,0,6,1,1,8,9,15,23,2,0,1,0,0,3,2,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,4,0,0,4,4,661,3,76,-248,-10,Hartford,2012-03-01
