year,month,day,crime_disorder,crime_robbery,crime_aggravated_assault,crime_burglary,crime_mv_theft,crime_theft,crime_gun,crime_violent,crime_property,crime_index,crime_disorder_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_mv_theft_day,crime_theft_day,crime_gun_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_mv_theft_night,crime_theft_night,crime_gun_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_mv_theft_is_sunrise,crime_theft_is_sunrise,crime_gun_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_mv_theft_is_sunset,crime_theft_is_sunset,crime_gun_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2020,2,1,0,0,2,0,0,5,2,2,5,7,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,3,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,4,-274,-36,Hartford
2021,2,1,0,1,0,3,0,7,1,1,10,11,0,0,0,1,0,2,0,0,3,3,0,1,0,2,0,3,1,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,269,0,28,-279,-41,Hartford
2022,2,1,24,1,3,3,1,4,3,4,8,12,17,1,1,3,1,4,0,2,8,10,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,2,102,0,7,-278,-40,Hartford
2023,2,1,35,2,1,2,3,9,6,3,14,17,27,1,0,1,1,6,5,1,8,9,8,1,1,1,2,3,1,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,1,4,-277,-39,Hartford
2024,2,1,8,0,0,1,0,6,8,0,7,7,4,0,0,0,0,4,4,0,4,4,2,0,0,1,0,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,97,0,13,-276,-38,Hartford
2012,3,1,0,1,1,1,0,8,0,2,9,11,0,1,0,1,0,5,0,1,6,7,0,0,1,0,0,3,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,1,11,-248,-10,Hartford
2013,3,1,0,1,1,2,0,11,1,2,13,15,0,1,1,1,0,9,0,2,10,12,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,147,0,10,-247,-9,Hartford
2014,3,1,0,1,2,1,0,6,0,3,7,10,0,0,0,1,0,1,0,0,2,2,0,1,2,0,0,3,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,103,0,8,-246,-8,Hartford
2015,3,1,0,0,2,2,0,4,0,2,6,8,0,0,0,1,0,2,0,0,3,3,0,0,2,1,0,2,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,3,-245,-7,Hartford
2016,3,1,0,0,3,2,0,11,0,3,13,16,0,0,1,0,0,6,0,1,6,7,0,0,1,2,0,4,0,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,101,0,9,-250,-12,Hartford
