year,month,day,crime_disorder,crime_robbery,crime_aggravated_assault,crime_burglary,crime_mv_theft,crime_theft,crime_gun,crime_violent,crime_property,crime_index,crime_disorder_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_mv_theft_day,crime_theft_day,crime_gun_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_mv_theft_night,crime_theft_night,crime_gun_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_mv_theft_is_sunrise,crime_theft_is_sunrise,crime_gun_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_mv_theft_is_sunset,crime_theft_is_sunset,crime_gun_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2014,1,4,0,0,0,1,0,6,0,0,7,7,0,0,0,1,0,2,0,0,3,3,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,7,-302,-64,Hartford
2015,1,4,0,1,0,5,0,9,3,1,14,15,0,0,0,2,0,1,0,0,3,3,0,1,0,3,0,7,3,1,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,57,0,5,-301,-63,Hartford
2016,1,4,0,1,0,3,0,6,3,1,9,10,0,1,0,1,0,2,0,1,3,4,0,0,0,1,0,3,3,0,4,4,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,83,1,6,-307,-69,Hartford
2017,1,4,0,1,1,1,0,5,3,2,6,8,0,0,1,0,0,5,0,1,5,6,0,1,0,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,17,-305,-67,Hartford
2018,1,4,0,1,3,0,1,4,3,4,5,9,0,1,0,0,0,2,1,1,2,3,0,0,2,0,1,2,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,194,0,18,-304,-66,Hartford
2019,1,4,0,0,1,1,0,6,2,1,7,8,0,0,1,0,0,4,0,1,4,5,0,0,0,1,0,2,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,4,15,-303,-65,Hartford
2020,1,4,0,0,3,2,0,3,4,3,5,8,0,0,1,2,0,1,1,1,3,4,0,0,2,0,0,2,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,7,-302,-64,Hartford
2021,1,4,0,1,2,0,1,5,4,3,6,9,0,1,0,0,0,1,2,1,1,2,0,0,2,0,0,3,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,78,1,6,-307,-69,Hartford
2022,1,4,10,1,0,0,2,6,3,1,8,9,7,0,0,0,1,2,2,0,3,3,2,0,0,0,1,4,1,0,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,67,0,8,-306,-68,Hartford
2023,1,4,29,1,2,2,7,7,3,3,16,19,17,0,0,2,4,5,0,0,11,11,11,1,1,0,3,0,3,2,3,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,2,3,132,0,11,-305,-67,Hartford
2024,1,4,22,0,3,6,4,5,13,3,15,18,16,0,1,6,1,4,9,1,11,12,4,0,2,0,3,1,4,2,4,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,120,3,6,-304,-66,Hartford
2012,2,4,0,4,2,1,0,5,0,6,6,12,0,1,1,0,0,4,0,2,4,6,0,3,1,1,0,1,0,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,9,-274,-36,Hartford
2013,2,4,0,1,1,0,1,1,1,2,2,4,0,1,0,0,1,1,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,76,0,4,-272,-34,Hartford
2014,2,4,0,0,1,0,0,3,0,1,3,4,0,0,1,0,0,2,0,1,2,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,12,-271,-33,Hartford
2015,2,4,0,0,0,3,0,10,0,0,13,13,0,0,0,0,0,6,0,0,6,6,0,0,0,2,0,4,0,0,6,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,100,2,8,-270,-32,Hartford
2016,2,4,0,0,1,4,0,9,1,1,13,14,0,0,1,0,0,5,0,1,5,6,0,0,0,4,0,3,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,109,0,12,-276,-38,Hartford
2017,2,4,0,1,0,1,0,10,2,1,11,12,0,0,0,1,0,5,0,0,6,6,0,1,0,0,0,4,2,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,89,0,11,-274,-36,Hartford
2018,2,4,0,0,1,1,0,11,4,1,12,13,0,0,0,0,0,5,2,0,5,5,0,0,0,1,0,5,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,68,0,11,-273,-35,Hartford
2019,2,4,0,0,2,1,0,6,2,2,7,9,0,0,1,0,0,2,0,1,2,3,0,0,1,1,0,3,2,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,123,1,10,-272,-34,Hartford
2020,2,4,0,0,1,1,1,9,4,1,11,12,0,0,0,1,0,4,0,0,5,5,0,0,0,0,0,5,4,0,5,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,120,1,13,-271,-33,Hartford
2021,2,4,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1,12,-276,-38,Hartford
2022,2,4,23,1,2,1,3,6,1,3,10,13,14,0,1,1,1,5,1,1,7,8,9,1,1,0,0,1,0,2,1,3,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,87,4,1,-275,-37,Hartford
2023,2,4,14,0,0,1,2,1,2,0,4,4,4,0,0,0,1,1,0,0,2,2,10,0,0,1,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,2,-274,-36,Hartford
2024,2,4,18,0,0,1,3,3,4,0,7,7,9,0,0,0,1,0,0,0,1,1,8,0,0,1,2,3,4,0,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72,1,5,-273,-35,Hartford
2012,3,4,0,0,0,3,0,10,3,0,13,13,0,0,0,3,0,2,0,0,5,5,0,0,0,0,0,8,2,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71,0,3,-245,-7,Hartford
2013,3,4,0,2,0,1,0,4,3,2,5,7,0,1,0,0,0,2,0,1,2,3,0,1,0,1,0,1,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100,0,5,-244,-6,Hartford
2014,3,4,0,0,0,1,0,12,2,0,13,13,0,0,0,1,0,2,0,0,3,3,0,0,0,0,0,8,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,141,0,10,-243,-5,Hartford
2015,3,4,0,1,0,1,0,8,2,1,9,10,0,1,0,0,0,5,0,1,5,6,0,0,0,0,0,3,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,105,1,10,-242,-4,Hartford
2016,3,4,0,1,2,1,1,10,2,3,12,15,0,0,1,1,1,6,0,1,8,9,0,1,1,0,0,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,108,0,11,-247,-9,Hartford
2017,3,4,0,0,1,1,0,10,1,1,11,12,0,0,0,1,0,5,0,0,6,6,0,0,1,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,73,0,7,-246,-8,Hartford
2018,3,4,0,0,2,1,0,7,4,2,8,10,0,0,0,0,0,4,2,0,4,4,0,0,2,1,0,3,2,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,5,-245,-7,Hartford
2019,3,4,0,0,2,1,0,6,1,2,7,9,0,0,0,0,0,4,0,0,4,4,0,0,0,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,1,3,143,0,11,-244,-6,Hartford
2020,3,4,0,0,1,0,1,5,5,1,6,7,0,0,1,0,1,2,0,1,3,4,0,0,0,0,0,2,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,131,1,9,-242,-4,Hartford
2021,3,4,0,0,0,0,0,3,5,0,3,3,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,6,-248,-10,Hartford
2022,3,4,15,0,1,2,1,7,8,1,10,11,9,0,1,1,0,6,0,1,7,8,4,0,0,1,1,1,5,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,128,0,27,-247,-9,Hartford
2023,3,4,15,1,2,1,2,4,2,3,7,10,12,1,0,1,2,3,2,1,6,7,3,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,105,2,8,-246,-8,Hartford
2024,3,4,16,0,0,0,4,10,0,0,14,14,11,0,0,0,3,10,0,0,13,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,88,0,6,-244,-6,Hartford
2012,4,4,0,1,1,1,0,4,0,2,5,7,0,1,1,0,0,2,0,2,2,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,128,1,10,-214,24,Hartford
2013,4,4,0,1,1,2,0,9,1,2,11,13,0,0,1,0,0,7,0,1,7,8,0,0,0,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,3,135,0,11,-213,25,Hartford
2014,4,4,0,1,2,4,0,5,3,3,9,12,0,1,2,2,0,4,1,3,6,9,0,0,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,108,0,13,-212,26,Hartford
2015,4,4,0,1,1,3,0,10,1,2,13,15,0,0,1,2,0,8,0,1,10,11,0,1,0,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,75,0,5,-211,27,Hartford
2016,4,4,0,0,1,0,0,5,0,1,5,6,0,0,1,0,0,3,0,1,3,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,104,1,2,-216,22,Hartford
2017,4,4,0,0,1,1,0,9,1,1,10,11,0,0,0,0,0,8,1,0,8,8,0,0,1,1,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,5,-215,23,Hartford
2018,4,4,0,1,2,1,1,6,3,3,8,11,0,1,2,0,0,4,2,3,4,7,0,0,0,1,1,2,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,4,-214,24,Hartford
2019,4,4,0,0,0,0,1,3,5,0,4,4,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,125,0,16,-213,25,Hartford
2020,4,4,0,0,0,3,0,2,5,0,5,5,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,2,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73,0,7,-211,27,Hartford
2021,4,4,0,0,4,1,0,9,8,4,10,14,0,0,3,0,0,4,0,3,4,7,0,0,1,1,0,5,8,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,-217,21,Hartford
2022,4,4,26,0,4,1,1,11,6,4,13,17,20,0,4,1,0,9,1,4,10,14,4,0,0,0,1,1,4,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,1,101,0,6,-216,22,Hartford
2023,4,4,28,1,0,2,0,11,4,1,13,14,15,1,0,1,0,10,0,1,11,12,8,0,0,0,0,0,4,0,0,0,1,0,0,1,0,1,0,0,2,2,4,0,0,0,0,0,0,0,0,0,122,3,10,-215,23,Hartford
2024,4,4,31,0,1,2,3,4,3,1,9,10,20,0,1,1,1,4,0,1,6,7,8,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,2,127,1,23,-213,25,Hartford
2012,5,4,0,0,1,1,0,9,4,1,10,11,0,0,1,1,0,6,0,1,7,8,0,0,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,108,0,10,-184,54,Hartford
2013,5,4,0,0,4,0,0,15,2,4,15,19,0,0,1,0,0,9,0,1,9,10,0,0,3,0,0,4,1,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,114,1,13,-183,55,Hartford
2014,5,4,0,1,3,1,2,11,4,4,14,18,0,0,2,1,0,6,0,2,7,9,0,0,0,0,2,3,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,2,4,76,0,9,-182,56,Hartford
2015,5,4,0,0,1,0,0,13,1,1,13,14,0,0,0,0,0,10,0,0,10,10,0,0,1,0,0,2,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,120,0,12,-181,57,Hartford
2016,5,4,0,0,4,0,1,9,1,4,10,14,0,0,4,0,1,7,0,4,8,12,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,111,0,15,-186,52,Hartford
2017,5,4,0,0,1,1,0,8,1,1,9,10,0,0,1,0,0,6,0,1,6,7,0,0,0,1,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,0,9,-185,53,Hartford
2018,5,4,0,0,0,0,0,10,2,0,10,10,0,0,0,0,0,8,1,0,8,8,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,12,-184,54,Hartford
2019,5,4,0,1,1,0,0,5,3,2,5,7,0,0,1,0,0,4,1,1,4,5,0,1,0,0,0,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,6,-183,55,Hartford
2020,5,4,0,0,1,0,0,4,8,1,4,5,0,0,0,0,0,2,1,0,2,2,0,0,1,0,0,2,5,1,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3,7,-181,57,Hartford
2021,5,4,0,0,2,1,0,5,5,2,6,8,0,0,2,0,0,1,1,2,1,3,0,0,0,1,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,93,0,13,-187,51,Hartford
2022,5,4,20,2,5,1,7,14,11,7,22,29,15,1,0,1,7,12,5,1,20,21,2,1,4,0,0,1,0,5,1,6,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,6,1,1,2,140,1,23,-186,52,Hartford
2023,5,4,14,0,0,1,1,4,2,0,6,6,6,0,0,0,1,4,2,0,5,5,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,90,2,7,-185,53,Hartford
2024,5,4,20,1,0,0,2,3,4,1,5,6,7,0,0,0,1,1,3,0,2,2,9,1,0,0,1,1,0,1,2,3,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,1,1,107,2,15,-183,55,Hartford
2012,6,4,0,1,1,3,0,9,6,2,12,14,0,1,1,3,0,5,3,2,8,10,0,0,0,0,0,4,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,136,0,15,-153,85,Hartford
2013,6,4,0,1,2,2,0,10,4,3,12,15,0,1,0,2,0,8,1,1,10,11,0,0,1,0,0,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,124,0,4,-152,86,Hartford
2014,6,4,0,1,2,2,0,12,2,3,14,17,0,1,1,1,0,7,0,2,8,10,0,0,1,1,0,4,1,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,156,2,10,-151,87,Hartford
2015,6,4,0,1,0,2,0,15,2,1,17,18,0,1,0,1,0,11,1,1,12,13,0,0,0,1,0,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,117,1,15,-150,88,Hartford
2016,6,4,0,1,3,3,0,11,8,4,14,18,0,0,0,2,0,10,1,0,12,12,0,0,3,0,0,1,6,3,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,2,93,1,15,-155,83,Hartford
2017,6,4,0,1,2,3,1,6,3,3,10,13,0,0,2,1,0,5,1,2,6,8,0,1,0,1,1,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,78,1,3,-154,84,Hartford
2018,6,4,0,0,1,0,0,7,0,1,7,8,0,0,1,0,0,7,0,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,3,-153,85,Hartford
2019,6,4,0,1,0,2,0,11,6,1,13,14,0,0,0,1,0,7,0,0,8,8,0,1,0,1,0,3,4,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,118,1,7,-152,86,Hartford
2020,6,4,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,81,1,10,-150,88,Hartford
2021,6,4,19,0,0,3,2,2,13,0,7,7,8,0,0,2,0,2,0,0,4,4,2,0,0,0,2,0,1,0,2,2,1,0,0,1,0,0,0,0,1,1,8,0,0,0,0,0,12,0,0,0,131,3,41,-156,82,Hartford
2022,6,4,23,1,1,0,4,2,3,2,6,8,16,0,1,0,3,2,2,1,5,6,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,1,1,93,1,13,-155,83,Hartford
2023,6,4,18,0,1,0,3,2,5,1,5,6,12,0,0,0,3,2,2,0,5,5,5,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,89,1,7,-154,84,Hartford
2024,6,4,14,2,0,1,1,11,1,2,13,15,8,2,0,1,1,10,0,2,12,14,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,63,1,9,-152,86,Hartford
2012,7,4,0,0,5,2,0,7,2,5,9,14,0,0,1,2,0,7,0,1,9,10,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,87,0,12,-123,115,Hartford
2013,7,4,0,0,4,1,0,8,2,4,9,13,0,0,1,1,0,6,0,1,7,8,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,72,0,12,-122,116,Hartford
2014,7,4,0,1,1,3,0,3,4,2,6,8,0,1,1,3,0,1,0,2,4,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,80,1,15,-121,117,Hartford
2015,7,4,0,0,3,0,0,10,1,3,10,13,0,0,1,0,0,8,0,1,8,9,0,0,2,0,0,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,1,6,-120,118,Hartford
2016,7,4,0,2,3,3,0,9,7,5,12,17,0,1,0,2,0,8,2,1,10,11,0,0,2,1,0,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,1,3,83,0,14,-125,113,Hartford
2017,7,4,0,0,0,2,0,9,0,0,11,11,0,0,0,1,0,5,0,0,6,6,0,0,0,1,0,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,72,0,5,-124,114,Hartford
2018,7,4,0,2,2,1,0,15,2,4,16,20,0,1,1,1,0,10,1,2,11,13,0,1,0,0,0,3,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,3,89,1,15,-123,115,Hartford
2019,7,4,0,1,3,1,0,2,5,4,3,7,0,1,2,0,0,2,0,3,2,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,1,1,2,91,1,14,-122,116,Hartford
2020,7,4,0,1,3,0,0,6,4,4,6,10,0,0,2,0,0,3,4,2,3,5,0,1,1,0,0,1,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,133,0,28,-120,118,Hartford
2021,7,4,40,0,3,5,3,11,2,3,19,22,31,0,0,5,3,10,2,0,18,18,5,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,1,137,0,16,-126,112,Hartford
2022,7,4,12,0,4,0,1,6,3,4,7,11,9,0,1,0,1,5,0,1,6,7,1,0,3,0,0,1,3,3,1,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,73,2,7,-125,113,Hartford
2023,7,4,20,0,2,0,0,3,2,2,3,5,7,0,0,0,0,3,0,0,3,3,8,0,2,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,96,0,14,-124,114,Hartford
2024,7,4,14,2,5,0,4,4,3,7,8,15,11,1,3,0,4,2,0,4,6,10,2,1,2,0,0,2,3,3,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,108,0,14,-122,116,Hartford
2012,8,4,0,1,2,3,0,11,4,3,14,17,0,0,1,1,0,9,0,1,10,11,0,1,0,2,0,2,4,1,4,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,115,1,13,-92,146,Hartford
2013,8,4,0,1,1,5,0,9,4,2,14,16,0,0,0,2,0,7,2,0,9,9,0,1,1,3,0,2,2,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,1,8,-91,147,Hartford
2014,8,4,0,0,0,4,0,6,0,0,10,10,0,0,0,3,0,2,0,0,5,5,0,0,0,1,0,4,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,10,-90,148,Hartford
2015,8,4,0,2,4,0,0,10,0,6,10,16,0,1,1,0,0,8,0,2,8,10,0,0,3,0,0,1,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,116,2,13,-89,149,Hartford
2016,8,4,0,0,2,0,0,9,0,2,9,11,0,0,0,0,0,7,0,0,7,7,0,0,1,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,85,0,6,-94,144,Hartford
2017,8,4,0,0,1,2,0,7,4,1,9,10,0,0,0,2,0,6,1,0,8,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,99,1,12,-93,145,Hartford
2018,8,4,0,1,2,2,0,5,3,3,7,10,0,0,0,1,0,4,1,0,5,5,0,0,2,1,0,1,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,95,0,6,-92,146,Hartford
2019,8,4,0,1,0,3,0,3,8,1,6,7,0,0,0,0,0,3,0,0,3,3,0,1,0,3,0,0,7,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85,3,4,-91,147,Hartford
2020,8,4,0,1,7,1,1,4,7,8,6,14,0,1,0,1,1,4,1,1,6,7,0,0,7,0,0,0,5,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,125,1,16,-89,149,Hartford
2021,8,4,10,2,2,2,2,8,1,4,12,16,5,2,2,2,2,4,1,4,8,12,4,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,89,1,11,-95,143,Hartford
2022,8,4,22,4,1,1,1,6,9,5,8,13,19,3,0,1,1,5,2,3,7,10,3,1,1,0,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,120,0,11,-94,144,Hartford
2023,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hartford
2024,8,4,24,1,1,1,4,9,1,2,14,16,18,0,1,1,1,7,0,1,9,10,5,1,0,0,2,2,1,1,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,101,4,11,-91,147,Hartford
2012,9,4,0,0,1,1,1,9,4,1,11,12,0,0,1,0,1,6,0,1,7,8,0,0,0,1,0,3,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,5,-61,177,Hartford
2013,9,4,0,2,1,3,0,6,2,3,9,12,0,2,1,2,0,3,1,3,5,8,0,0,0,1,0,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,161,0,6,-60,178,Hartford
2014,9,4,0,1,0,1,1,3,2,1,5,6,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,2,2,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,7,-59,179,Hartford
2015,9,4,0,1,1,2,0,10,1,2,12,14,0,1,0,1,0,9,0,1,10,11,0,0,1,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,130,1,4,-58,180,Hartford
2016,9,4,0,0,1,3,0,13,3,1,16,17,0,0,0,1,0,6,1,0,7,7,0,0,1,1,0,4,2,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,4,58,0,10,-63,175,Hartford
2017,9,4,0,0,2,4,0,3,1,2,7,9,0,0,1,2,0,2,0,1,4,5,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,80,0,11,-62,176,Hartford
