year,month,day,crime_disorder,crime_gun,crime_robbery,crime_aggravated_assault,crime_burglary,crime_theft,crime_mv_theft,crime_violent,crime_property,crime_index,crime_disorder_day,crime_gun_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_theft_day,crime_mv_theft_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_gun_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_theft_night,crime_mv_theft_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_gun_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_theft_is_sunrise,crime_mv_theft_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_gun_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_theft_is_sunset,crime_mv_theft_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2020,2,1,39,0,2,3,5,36,41,5,82,87,17,0,1,3,2,22,18,4,42,46,20,0,1,0,3,11,22,1,36,37,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,1,1,0,2,2,178,2,8,-274,-36,New Orleans
2021,2,1,45,1,2,5,4,18,12,7,34,41,24,1,1,2,4,12,4,3,20,23,17,0,1,3,0,4,7,4,11,15,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,3,3,143,0,9,-279,-41,New Orleans
2022,2,1,36,2,1,6,5,26,30,7,61,68,14,0,1,4,4,17,11,5,32,37,20,1,0,2,1,7,18,2,26,28,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,3,3,167,0,14,-278,-40,New Orleans
2023,2,1,29,5,1,6,1,16,18,7,35,42,13,3,1,2,1,7,6,3,14,17,10,0,0,3,0,8,12,3,20,23,1,0,0,1,0,1,0,1,1,2,5,2,0,0,0,0,0,0,0,0,122,3,8,-277,-39,New Orleans
2024,2,1,34,1,0,7,6,17,33,7,56,63,20,1,0,3,3,8,13,3,24,27,14,0,0,3,3,9,19,3,31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,154,0,4,-276,-38,New Orleans
2012,3,1,28,6,1,4,11,33,8,5,52,57,11,4,0,1,5,21,2,1,28,29,13,2,1,2,6,12,5,3,23,26,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,1,1,2,227,1,13,-248,-10,New Orleans
2013,3,1,19,0,2,4,9,44,8,6,61,67,8,0,1,4,7,27,4,5,38,43,9,0,1,0,2,16,4,1,22,23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,175,1,3,-247,-9,New Orleans
2014,3,1,28,4,4,3,5,78,22,7,105,112,9,0,0,1,3,23,9,1,35,36,14,3,4,1,2,51,13,5,66,71,0,1,0,0,0,0,0,0,0,0,5,0,0,1,0,4,0,1,4,5,239,1,14,-246,-8,New Orleans
2015,3,1,24,2,4,5,7,27,14,9,48,57,7,0,1,3,4,12,3,4,19,23,15,2,2,1,3,15,10,3,28,31,0,0,0,0,0,0,1,0,1,1,2,0,1,1,0,0,0,2,0,2,144,1,7,-245,-7,New Orleans
2016,3,1,45,0,2,0,6,35,5,2,46,48,20,0,0,0,5,24,3,0,32,32,25,0,1,0,1,10,2,1,13,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,182,0,11,-250,-12,New Orleans
2017,3,1,47,2,2,5,2,46,12,7,60,67,21,1,2,3,2,29,4,5,35,40,22,1,0,2,0,15,8,2,23,25,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,2,159,0,7,-249,-11,New Orleans
2018,3,1,53,0,3,2,4,33,8,5,45,50,23,0,2,0,1,22,2,2,25,27,26,0,1,2,3,9,5,3,17,20,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,2,0,0,2,2,185,1,16,-248,-10,New Orleans
