year,month,day,crime_disorder,crime_robbery,crime_aggravated_assault,crime_burglary,crime_theft,crime_mv_theft,crime_gun,crime_violent,crime_property,crime_index,crime_disorder_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_theft_day,crime_mv_theft_day,crime_gun_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_theft_night,crime_mv_theft_night,crime_gun_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_theft_is_sunrise,crime_mv_theft_is_sunrise,crime_gun_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_theft_is_sunset,crime_mv_theft_is_sunset,crime_gun_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2019,10,1,72,4,8,18,79,11,3,12,108,120,37,2,2,11,50,7,1,4,68,72,27,2,5,5,24,4,2,7,33,40,1,0,0,0,0,0,0,0,0,0,7,0,1,2,5,0,0,1,7,8,344,1,21,-33,205,Austin
2020,10,1,53,4,10,12,91,9,3,14,112,126,23,2,4,3,42,4,1,6,49,55,24,2,6,8,41,4,2,8,53,61,0,0,0,0,0,0,0,0,0,0,6,0,0,1,8,1,0,0,10,10,311,2,21,-31,207,Austin
2021,10,1,49,3,7,9,83,18,1,10,110,120,32,0,4,5,46,8,0,4,59,63,13,3,2,3,27,7,1,5,37,42,0,0,0,1,0,1,0,0,2,2,4,0,1,0,10,2,0,1,12,13,297,3,24,-37,201,Austin
2022,10,1,50,3,8,19,91,16,2,11,126,137,23,1,2,8,48,5,1,3,61,64,24,2,5,11,38,7,1,7,56,63,0,0,0,0,2,0,0,0,2,2,3,0,1,0,3,4,0,1,7,8,293,4,13,-36,202,Austin
2023,10,1,63,0,10,12,74,22,2,10,108,118,27,0,3,3,29,11,0,3,43,46,32,0,6,9,40,11,2,6,60,66,0,0,0,0,0,0,0,0,0,0,4,0,1,0,5,0,0,1,5,6,300,1,14,-35,203,Austin
2024,10,1,74,2,6,17,64,10,1,8,91,99,38,2,4,6,32,3,0,6,41,47,32,0,1,10,28,7,1,1,45,46,0,0,0,0,1,0,0,0,1,1,4,0,1,1,3,0,0,1,4,5,311,3,17,-33,205,Austin
2012,11,1,106,2,11,17,119,4,1,13,140,153,44,1,4,8,60,1,0,5,69,74,54,1,6,9,50,2,0,7,61,68,0,0,0,0,0,0,0,0,0,0,8,0,1,0,9,1,1,1,10,11,460,1,34,-3,235,Austin
2013,11,1,92,3,8,15,126,10,0,11,151,162,29,0,0,8,62,5,0,0,75,75,58,3,7,3,46,5,0,10,54,64,0,0,0,2,1,0,0,0,3,3,5,0,1,2,17,0,0,1,19,20,417,7,31,-2,236,Austin
2014,11,1,91,4,6,7,111,8,1,10,126,136,35,0,2,4,53,2,0,2,59,61,52,2,4,2,45,3,1,6,50,56,1,0,0,1,0,0,0,0,1,1,3,2,0,0,13,3,0,2,16,18,382,3,30,-1,237,Austin
2015,11,1,110,7,10,14,99,4,2,17,117,134,36,2,2,9,51,0,1,4,60,64,70,4,8,4,41,4,1,12,49,61,0,1,0,0,1,0,0,1,1,2,4,0,0,1,6,0,0,0,7,7,390,2,17,0,238,Austin
2016,11,1,97,4,3,23,82,2,5,7,107,114,35,1,1,17,43,0,1,2,60,62,54,3,2,3,33,2,4,5,38,43,2,0,0,0,2,0,0,0,2,2,6,0,0,3,4,0,0,0,7,7,360,5,20,-5,233,Austin
2017,11,1,81,1,5,5,93,7,2,6,105,111,35,0,2,2,54,0,2,2,56,58,36,1,3,2,27,5,0,4,34,38,2,0,0,1,0,0,0,0,1,1,8,0,0,0,12,2,0,0,14,14,341,5,26,-4,234,Austin
2018,11,1,80,1,6,14,100,9,4,7,123,130,29,1,4,8,45,2,2,5,55,60,43,0,2,5,41,6,2,2,52,54,2,0,0,0,2,0,0,0,2,2,6,0,0,1,12,1,0,0,14,14,360,4,26,-3,235,Austin
2019,11,1,73,4,6,16,111,11,7,10,138,148,33,1,2,10,50,6,0,3,66,69,34,3,4,5,44,3,6,7,52,59,0,0,0,0,1,2,1,0,3,3,6,0,0,1,16,0,0,0,17,17,348,5,27,-2,236,Austin
2020,11,1,82,2,8,9,96,12,1,10,117,127,28,0,3,2,46,2,0,3,50,53,47,2,5,7,45,8,1,7,60,67,1,0,0,0,0,0,0,0,0,0,6,0,0,0,5,2,0,0,7,7,337,2,24,0,238,Austin
2021,11,1,56,3,8,28,78,18,4,11,124,135,29,1,1,11,41,5,0,2,57,59,23,1,7,16,31,13,4,8,60,68,1,1,0,1,0,0,0,1,1,2,3,0,0,0,6,0,0,0,6,6,344,5,15,-6,232,Austin
2022,11,1,56,3,5,20,70,17,2,8,107,115,18,1,3,9,39,6,0,4,54,58,31,2,2,10,26,8,2,4,44,48,0,0,0,0,1,0,0,0,1,1,7,0,0,1,4,3,0,0,8,8,280,1,20,-5,233,Austin
2023,11,1,59,3,5,21,69,23,2,8,113,121,25,0,1,8,39,13,0,1,60,61,28,3,2,13,24,7,1,5,44,49,2,0,0,0,3,0,0,0,3,3,4,0,2,0,3,3,1,2,6,8,297,6,16,-4,234,Austin
2024,11,1,67,2,8,19,70,12,3,10,101,111,26,1,5,12,34,8,1,6,54,60,38,1,3,5,29,4,2,4,38,42,0,0,0,1,1,0,0,0,2,2,3,0,0,1,6,0,0,0,7,7,327,2,16,-2,236,Austin
2012,12,1,115,4,2,20,125,13,3,6,158,164,31,2,1,12,46,7,1,3,65,68,80,2,1,8,71,6,1,3,85,88,1,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,1,0,8,8,433,2,18,27,265,Austin
2013,12,1,108,2,6,11,100,3,1,8,114,122,38,0,0,7,44,0,0,0,51,51,60,1,5,3,50,2,1,6,55,61,0,0,0,0,1,0,0,0,1,1,10,1,1,1,5,1,0,2,7,9,365,1,31,28,266,Austin
2014,12,1,73,3,5,19,116,4,3,8,139,147,28,1,1,12,60,1,0,2,73,75,36,1,4,6,42,2,2,5,50,55,0,1,0,0,2,0,0,1,2,3,9,0,0,1,12,1,1,0,14,14,343,4,28,29,267,Austin
2015,12,1,78,0,2,9,111,7,1,2,127,129,27,0,1,4,44,4,1,1,52,53,48,0,1,2,53,2,0,1,57,58,0,0,0,0,1,1,0,0,2,2,3,0,0,3,13,0,0,0,16,16,325,2,27,30,268,Austin
2016,12,1,69,0,3,18,82,6,3,3,106,109,31,0,1,6,43,3,1,1,52,53,32,0,1,11,36,2,2,1,49,50,1,0,0,1,0,1,0,0,2,2,5,0,1,0,3,0,0,1,3,4,328,5,19,25,263,Austin
2017,12,1,76,3,6,16,89,4,2,9,109,118,18,0,3,11,42,2,0,3,55,58,48,3,3,3,42,2,2,6,47,53,0,0,0,0,0,0,0,0,0,0,10,0,0,2,5,0,0,0,7,7,333,0,26,26,264,Austin
2018,12,1,73,5,4,18,110,10,1,9,138,147,25,3,2,7,59,3,0,5,69,74,41,2,2,10,44,6,1,4,60,64,2,0,0,0,0,1,0,0,1,1,5,0,0,1,7,0,0,0,8,8,362,3,18,27,265,Austin
2019,12,1,79,2,3,23,79,7,2,5,109,114,28,1,2,10,35,1,0,3,46,49,46,0,1,12,39,4,1,1,55,56,0,0,0,0,0,2,0,0,2,2,5,1,0,1,5,0,1,1,6,7,342,5,25,28,266,Austin
2020,12,1,70,2,4,23,91,8,4,6,122,128,30,0,2,9,45,6,1,2,60,62,32,2,2,13,40,2,3,4,55,59,0,0,0,0,2,0,0,0,2,2,8,0,0,1,4,0,0,0,5,5,358,4,21,30,268,Austin
2021,12,1,56,5,8,27,81,11,3,13,119,132,20,2,4,9,40,7,1,6,56,62,28,1,3,16,32,4,2,4,52,56,0,0,0,1,4,0,0,0,5,5,8,2,1,1,5,0,0,3,6,9,324,8,24,24,262,Austin
